2014-01-31_JA-africa.tsv:History_1b-rdf.tsv	Moguerane, K.	447	112	AFRICAN AFFAIRS -LONDON- ROYAL AFRICAN SOCIETY-	0001-9909	(Uk)RN330197156	AFRICAN AFFAIRS -LONDON- ROYAL AFRICAN SOCIETY- 112(447), 332-333. (2013)	Luka Jantjie: Resistance hero of the South African frontier	xxk	eng	Oxford University Press	2013
2014-01-31_JA-africa.tsv:History_2v-rdf.tsv	White, J. A.		187	CONTRIBUTIONS IN AFROAMERICAN AND AFRICAN STUDIES	0069-9624	(Uk)RN046838490	CONTRIBUTIONS IN AFROAMERICAN AND AFRICAN STUDIES 187, 131-142. (1998)	Quest for Selfhood: The Female Hero in Amos Tutuola's The Brave African Huntress	xxu	eng	GREENWOOD PRESS	1998
2014-01-31_JA-africa.tsv:History_3-rdf.tsv	Morrison, W.R.	2	21	INTERNATIONAL JOURNAL OF MARITIME HISTORY	0843-8714	(Uk)RN264932282	INTERNATIONAL JOURNAL OF MARITIME HISTORY 21(2), 437. (2009)	Dennis L. Noble and Truman R. Strobridge, Captain `Hell Roaring' Mike Healy: From African Slave to Arctic Hero	xxc	eng	INTERNATIONAL MARITIME ECONOMIC HISTORY ASSOCIATION	2009
2014-01-31_JA-africa.tsv:History_3-rdf.tsv	Stapleton, T.	2	45	INTERNATIONAL JOURNAL OF AFRICAN HISTORICAL STUDIES	0361-7882	(Uk)RN321537957	INTERNATIONAL JOURNAL OF AFRICAN HISTORICAL STUDIES 45(2), 321. (2012)	Shillington, Luka Jantjie: Resistance Hero of the South African Frontier	xxu	eng	AFRICAN STUDIES CENTER AT BOSTON UNIVERSITY	2012
2014-01-31_JA-america.tsv:History_1a-rdf.tsv	Glenn, S. A.	4	23	REVIEWS IN AMERICAN HISTORY	0048-7511	(Uk)RN002547119	REVIEWS IN AMERICAN HISTORY 23(4), 650-657. (1995)	"""A Hero! Is Dot a Business?"" Vaudeville Comedy and American Popular Entertainment"	xxu	eng	THE JOHNS HOPKINS UNIVERSITY PRESS	1995
2014-01-31_JA-america.tsv:History_1a-rdf.tsv	Crouch, T. D.	3	36	JOURNAL OF THE WEST	0022-5169	(Uk)RN031518015	JOURNAL OF THE WEST 36(3), 21-28. (1997)	Local Hero: John Joseph Montgomery and the First Winged Flight in America	xxu	eng	KANSAS STATE UNIVERSITY	1997
2014-01-31_JA-america.tsv:History_1a-rdf.tsv	Bellesiles, M. A.	1	18	JOURNAL OF THE EARLY REPUBLIC	0275-1275	(Uk)RN045166442	JOURNAL OF THE EARLY REPUBLIC 18(1), 145-146. (1998)	Martin, Benedict Arnold, Revolutionary Hero: An American Warrior Reconsidered	xxu	eng	SOCIETY FOR HISTORIANS OF THE EARLY AMERICAN REPUBLIC	1998
2014-01-31_JA-america.tsv:History_1a-rdf.tsv	Shalhope, R. E.	4	26	REVIEWS IN AMERICAN HISTORY	0048-7511	(Uk)RN054987389	REVIEWS IN AMERICAN HISTORY 26(4), 668-673. (1998)	Benedict Arnold as Hero: James Kirby Martin, Benedict Arnold, Revolutionary Hero: An American Warrior Reconsidered	xxu	eng	THE JOHNS HOPKINS UNIVERSITY PRESS	1998
2014-01-31_JA-america.tsv:History_1a-rdf.tsv	Calhoon, R. M.	1	56	WILLIAM AND MARY QUARTERLY	0043-5597	(Uk)RN056677914	WILLIAM AND MARY QUARTERLY 56(1), 218-219. (1999)	Martin, Benedict Arnold, Revolutionary Hero: An American Warrior Reconsidered	xxu	eng	INSTITUTE OF EARLY AMERICAN HISTORY AND CULTURE	1999
2014-01-31_JA-america.tsv:History_1a-rdf.tsv	Austin, E.	10	32	WASHINGTON MONTHLY	0043-0633	(Uk)RN085525499	WASHINGTON MONTHLY 32(10), 30-35. (2000)	Why Homer's My Hero The All-American family shouldn't have to wear Gucci to feel good	xxu	eng	WASHINGTON MONTHLY COMPANY	2000
2014-01-31_JA-america.tsv:History_1a-rdf.tsv	Melnick, J.	3	88	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON-	0021-8723	(Uk)RN107351012	JOURNAL OF AMERICAN HISTORY -BLOOMINGTON- 88(3), 1170-1171. (2001)	Filene, Romancing the Folk: Public Memory &amp; American Roots Music; and Garman, A Race of Singers: Whitman's Working-Class Hero from Guthrie to Springsteen	xxu	eng	THE ORGANIATION OF AMERICAN HISTORIANS	2001
2014-01-31_JA-america.tsv:History_1a-rdf.tsv	Brakke, D.	1	110	AMERICAN HISTORICAL REVIEW	0002-8762	(Uk)RN164314556	AMERICAN HISTORICAL REVIEW 110(1), 121-122. (2005)	Richard Wightman Fox. Jesus in America: Personal Savior, Cultural Hero, National Obsession; Stephen Prothero, American Jesus: How the Son of God Became a National Icon	xxu	eng	AMERICAN HISTORICAL ASSOCIATION	2005
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Hughes, C. F.	2	17	INTERNATIONAL JOURNAL OF MARITIME HISTORY	0843-8714	(Uk)RN184976430	INTERNATIONAL JOURNAL OF MARITIME HISTORY 17(2), 461-462. (2005)	Robert J. Allison, Stephen Decatur: American Naval Hero, 1779-1820	xxc	eng	INTERNATIONAL MARITIME ECONOMIC HISTORY ASSOCIATION	2005
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Coffman, E. M.	3	103	REGISTER- KENTUCKY HISTORICAL SOCIETY	0023-0243	(Uk)RN188160061	REGISTER- KENTUCKY HISTORICAL SOCIETY 103(3), 590-591. (2005)	Lewis, Eddie Rickenbacker: An American Hero in the Twentieth Century	xxu	eng	KENTUCKY HISTORICAL SOCIETY	2005
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Shuffelton, F.	4	63	WILLIAM AND MARY QUARTERLY	0043-5597	(Uk)RN198913003	WILLIAM AND MARY QUARTERLY 63(4), 873-876	The Indian Chief as Tragic Hero: Native Resistance and the Literatures of America, from Moctezuma to Tecumseh. By Gordon M. Sayre	xxu	eng		
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	TenHuisen, D. E. R.	3	30	ITINERARIO -LEIDEN-	0165-1153	(Uk)RN202663513	ITINERARIO -LEIDEN- 30(3), 131-132. (2006)	Gordon M. Sayre, The Indian Chief as Tragic Hero: Native Resistance and the Literatures of America, from Moctezuma to Tecumseh	ne	eng	LEIDEN UNIVERSITY	2006
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Konkle, M.	4	30	AMERICAN INDIAN CULTURE AND RESEARCH JOURNAL	0161-6463	(Uk)RN203854091	AMERICAN INDIAN CULTURE AND RESEARCH JOURNAL 30(4), 153-154. (2006)	The Indian Chief as Tragic Hero: Native Resistance and the Literatures of America, from Moctezuma to Tecumseh. By Gordon M. Sayre	xxu	eng	UNIVERSITY OF CALIFORNIA	2006
